product_id,name,current_price,original_price,discount,available_sizes,colors,availability,url,image_url
s21888_gray-melange,Kaliya Stripey Knit Zip Up Hoodie,$37.00,$74.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21888_gray-melange,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202514349.jpg?v=1756815925&width=600
s21464_dark-gray-melange,Camo Crush Edikted Sweatpants,$35.00,$70.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21464_dark-gray-melange,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_21_2025277487_8f1af013-bd57-4fa4-8eeb-8a684f76e0b1.jpg?v=1755507719&width=600
s21904_dark-gray,Shiraz Oversized Knit Cardigan,$34.00,$68.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21904_dark-gray,https://edikted.com/cdn/shop/files/Eedikted_Lookbook_08_13_202513028copy.jpg?v=1756635218&width=600
s14008_light-blue,Chiara Denim Micro Skirt,$30.40,$76.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s14008_light-blue,https://edikted.com/cdn/shop/files/Edikted_Lookbook_09_18_202478783copy.jpg?v=1727084517&width=600
s17367_blue-washed,Overall Denim Mini Dress,$47.00,$94.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s17367_blue-washed,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_09_202442943_e885fe7e-3971-4d73-99e7-092685fba092.jpg?v=1723590754&width=600
s12612_gray,Jinx Open-Back Top,$14.40,$36.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s12612_gray,https://edikted.com/cdn/shop/files/Edikted_Lookbook_09_18_202477015.jpg?v=1727028657&width=600
s20926_olive,Ciena Backless Cowl Neck Mini Dress,$47.00,$94.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20926_olive,https://edikted.com/cdn/shop/files/Edikted_lookbook_09_03_202527705.jpg?v=1757250356&width=600
s20623_cream,Adrian Knit Halter Mini Dress,$33.00,$66.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20623_cream,https://edikted.com/cdn/shop/files/Edikted_Lookbook_06_16_2025245108.jpg?v=1752170669&width=600
s16103_light-blue,Bow Pocket Relaxed Jeans,$29.40,$98.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s16103_light-blue,https://edikted.com/cdn/shop/files/Edikted_Lookbook_02_13_202413974_9beac17b-c3bf-497c-9f9a-764deef9d34c.jpg?v=1708452731&width=600
s21133_blue,Meredith Low Rise Jeans,$49.00,$98.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21133_blue,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_21_2025279204_113b75f9-8731-45fb-8218-68f4de188b88.jpg?v=1753962303&width=600
s17347_navy,California T Shirt,$14.40,$36.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s17347_navy,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_01_202432885.jpg?v=1720603797&width=600
